itemid,ITENNAME,pack,manufacturer,CATG,SUBCATG,mrp
COL0012,COLICAID PAED DROPS 30ML,,MEYER ORGANICS PVT LTD,PHARMA,DROPS,
COL0013,COLIMEX 10 ML DROPS,,WALLACE PHARMACEUTCALS LTD,PHARMA,DROPS,
COL0014,COLIMEX DF DROPS 15ML,,WALLACE PHARMACEUTCALS LTD,PHARMA,DROPS,
COL0020,COLOSPA RETARD 200MG CAP 10'S,,ABBOTT INDIA LIMITED,PHARMA,CAPSULE,
COL0039,COLGATE ORTHODONTIC TOOTHBRUSH,,COLGATE PALMOLIVE INDIA LTD,FMCG,PERSONAL CARE,
COL0042,COLONISE FORTE TAB 10'S,,TORRENT (AZUCA),PHARMA,TABLET,
COL0050,COLGATE STRONG TEETH TOOTHPASTE 100G,,COLGATE PALMOLIVE INDIA LTD,FMCG,PERSONAL CARE,
COL0075,COLGATE SENSITIVE TOOTHPASTE 80G,,COLGATE PALMOLIVE INDIA LTD,FMCG,PERSONAL CARE,
COL0112,COLOSPA 135MG TAB 15'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
COL0148,COLGATE STRNGTETH TOTHPAST 200+100M+BRUS,,COLGATE PALMOLIVE INDIA LTD,FMCG,PERSONAL CARE,
COL0158,COLIMEX 30ML SUSP,,WALLACE PHARMACEUTCALS LTD,PHARMA,LIQUID,
COL0165,COLLAFLEX 10.5GM SACHET,,SANOFI AVENTIS INDIA LTD,PHARMA,POWDER,
COL0191,COLGATE PLAX FRESH MINT 100 ML,,COLGATE PALMOLIVE INDIA LTD,FMCG,PERSONAL CARE,
COL0279,COLLAFLEX  5G,,SANOFI AVENTIS INDIA LTD,PHARMA,TABLET,
COL0501,COLY-MONAS 1MIU INJ,,GLENMARK PHARMACEUTICAL LTD,PHARMA,INJECTION,
COL0565,COLIWIN R CAP 10'S,,MAGNET LABS PVT LTD,PHARMA,CAPSULE,
COL0625,COLICAID EZ :15ML  DROPS,,MEYER ORGANICS PVT LTD,PHARMA,DROPS,
COL0627,COLLACEE GS 12GM SACHET,,PHARMED LIMITED,PHARMA,POWDER,
COL0663,COLY-MONAS 2MIU INJ,,GLENMARK PHARMACEUTICAL LTD,PHARMA,INJECTION,
COL0669,COLIRID 40MG TAB 10'S,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,TABLET,
COL0691,COLLMED SACHET 12G,,BIOMED PHARMACEUTICALS LTD,PHARMA,POWDER,
COL0737,COLAHYAL CAP 10'S,,NEXGEN PHARMA PVT LTD,PHARMA,CAPSULE,
COL0777,COLIHENZ P 400MG TAB 10'S,,LA RENON HEALTHCARE PVT LTD,PHARMA,TABLET,
COL0780,COLIHENZ P 800MG TAB 10'S,,LA RENON HEALTHCARE PVT LTD,PHARMA,TABLET,
COL0913,COLLAFLEX PRO 12.1GM SACHET,,SANOFI AVENTIS INDIA LTD,PHARMA,POWDER,
COL0919,COLGATE PAIN OUT DENTAL 10G,,COLGATE PALMOLIVE INDIA LTD,FMCG,OTC,
COL0921,COLLMED TAB 10'S,,MDC INTERNATIONAL PVT LTD,PHARMA,TABLET,
COL0924,COLIKAB-D TAB 10'S,,RALOLANCER PHHARMACEUTICALS,PHARMA,TABLET,
COL0934,COLOSPA X TAB 15'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
COL0975,COLL-CD CAP 10'S,,MEDSOL INDIA OVERSEAS PVT LTD,PHARMA,TABLET,
COL0980,COLAFAST TAB 1'S,,VINS BIOPRODUCTS LTD,PHARMA,TABLET,
COL1006,COLLONE SOFTGEL CAP 10'S,,LIPAKINDIA LIFE SCIENCES,PHARMA,CAPSULE,
COL1037,COLOSPA RETARD 200MG CAP 15'S,,ABBOTT INDIA LIMITED,PHARMA,CAPSULE,
COL1046,COLICAID 100ML SYP,,MEYER ORGANICS PVT LTD,PHARMA,LIQUID,
COL1047,COLLABENZ 12GM POWDER,,ASTRA HEALTHCARE LTD,PHARMA,TABLET,
COL1049,COLLASMART-A CAP 10'S,,GLENMARK PHARMACEUTICAL LTD,PHARMA,CAPSULE,
COL1075,COL 4D TAB 10'S,,SENVION BIOTECH,PHARMA,TABLET,
COL1078,COLIHEAL PAED DROPS 30ML,,GENECAESSENTIA LIFE SCIENCES INC,PHARMA,DROPS,
COL1094,COLLABENZ TAB 15'S,,ASTRA HEALTHCARE LTD,PHARMA,TABLET,
COL1102,COLICAID PAED DROPS 15ML,,MEYER ORGANICS PVT LTD,PHARMA,DROPS,
COL1128,COLATAGE PLUS CAP 10'S,,KOYE PHARMACEUTICALS,PHARMA,CAPSULE,
COL1137,COLLA-2 TAB 10'S,,JAGSONPAL PHARMACEUTICALS LTD,PHARMA,TABLET,
COL1157,COLTRO AS 150MG TAB 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
COL1178,COLIKAB-DF PAED DROPS 30ML,,KABSON MEDICARE,PHARMA,DROPS,
COL1195,COLDARIN ALL IN 1 TABLETS 10'S,,JOHNSON & JOHNSON PVT LTD,FMCG,OTC,
COL1203,COLARG-Q10 TAB 10'S,,SALENE BIOTECH  PVT LTD,PHARMA,TABLET,
COL1204,COLLA-ONCE S/F ORANGE FLAV SACHET 12.5G,,MEDINITY PHARMA PVT LTD,PHARMA,POWDER,
COL1216,COLLAGROW FORTE TAB 10'S,,ZYDILLAC BIOTECH,PHARMA,TABLET,
COL1236,COLFORT TAB 10'S,,SACHIO PHARMA BANGALORE PVT LTD,PHARMA,TABLET,
COM0003,COMBIFLAM PAED SUSP 60ML,,SANOFI AVENTIS INDIA LTD,PHARMA,LIQUID,
COM0004,COMBIFLAM TAB 20'S,,SANOFI AVENTIS INDIA LTD,PHARMA,TABLET,
COM0005,COMBIGAN 5ML DROPS,,ALLERGAN IND PVT LTD,PHARMA,DROPS,
COM0011,COMBINASE AQ 7ML NASAL SPRAY,,GERMAN REMEDIES LTD,PHARMA,SPRAY,
COM0014,COMBUNEX 800 TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COM0015,COMBUTOL 200MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COM0016,COMBUTOL 1GRM TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COM0017,COMBUTOL 400MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COM0018,COMBUTOL 800MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COM0019,COMBUTOL 600MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COM0021,COMPLAMINA 150MG TAB 10'S,,GERMAN REMEDIES LTD,PHARMA,TABLET,
COM0022,COMPLAMINA RETARD 500MG TAB 10'S,,GERMAN REMEDIES LTD,PHARMA,TABLET,
COM0044,COMBITIDE 250 INHALER,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,INHALER,
COM0098,COMBIHALE FB 200 INHALER,,DR REDDY'S LABORATORIES,PHARMA,INHALER,
COM0103,COMBIHALE FB 400 REDICAPS,,DR REDDY'S LABORATORIES,PHARMA,CAPSULE,
COM0109,COMBIHALE FF 250 INHALER,,DR REDDY'S LABORATORIES,PHARMA,INHALER,
COM0113,COMBIHALE FF 500 REDICAPS,,DR REDDY'S LABORATORIES,PHARMA,CAPSULE,
COM0170,CO-MUPIMET POWDER 5GMS,,FOURRTS (INDIA) LABORATORIES PVT LTD,PHARMA,POWDER,
COM0187,COMMODE CHAIR (MEDI),,ADONIS LABORATORIES PVT LTD,FMCG,MISCELLANEOUS,
COM0233,COMBAC 20 MG TAB 10'S,,R . K . COMPANY,PHARMA,TABLET,
COM0234,COMBAC 30 MG TAB 10'S,,CIPLA LTD,PHARMA,TABLET,
COM0236,COMMANDO CAP 20'S,,ADONIS LABORATORIES PVT LTD,FMCG,OTC,
COM0245,COMFY DROP,,ACCURA CARE PHARMACEUTICALS PVT LTD,PHARMA,DROPS,
COM0247,COMON DT TAB 10'S,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,TABLET,
COM0337,COMPLAN NUTRIGRO CHOCOLATE FLAVOUR 400G JAR,,HEINZ INDIA (P) LTD,FMCG,SUPPLEMENTS,
COM0394,COMPRESSION STOCKING XL (TYNOR,,TYN-TYNOR,SURGICAL,RE-HABILITATION,
COM0397,COMPRESSION STOCKING MEDIUM RIGHT (TYNOR),,TYN-TYNOR,SURGICAL,RE-HABILITATION,
COM0398,COMBIFLAM PLUS TAB 10'S,,SANOFI AVENTIS INDIA LTD,PHARMA,TABLET,
COM0428,COMBIMIST-L RESPICAPS,,GERMAN REMEDIES LTD,PHARMA,CAPSULE,
COM0429,COMBIMIST L INHALER,,GERMAN REMEDIES LTD,PHARMA,INHALER,
COM0449,COMPRESSION STOCKING L RIGHT,,TYN-TYNOR,SURGICAL,RE-HABILITATION,
COM0494,COMBINASE FT 70MD NASAL SPRAY 9.8G,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,SPRAY,
COM0501,COMPRESSION  THIGH (L) CLASS 2 (STARMED),,STARMED BIOTECH PVT LTD,SURGICAL,RE-HABILITATION,
COM0504,COMPRESSION KNEE  (S)  CLASS 2 (STARMED),,STARMED BIOTECH PVT LTD,SURGICAL,RE-HABILITATION,
COM0525,COM-D3 STRONG 10'S CAP 10'S,,COMED CHEMICALS PVT LTD,PHARMA,CAPSULE,
COM0530,COM-D3 5ML SOLUTION,,COMED CHEMICALS PVT LTD,PHARMA,LIQUID,
COM0534,COM-D3 MD 60K TAB,,COMED CHEMICALS PVT LTD,PHARMA,TABLET,
COM0549,COMBIPAT 5ML EYE DROPS,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,DROPS,
COM0556,COMBITIDE 250MCG OCTACAPS 30'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,CAPSULE,
COM0558,COMPOD-CV TAB 6'S,,COMED CHEMICALS PVT LTD,PHARMA,TABLET,
COM0571,COMBINORM CAP 10'S,,ABBOTT INDIA LIMITED,PHARMA,CAPSULE,
COM0580,COMFEST SOFTGEL CAP 10'S,,HOLY LIFE SCIENCES,PHARMA,CAPSULE,
COM0586,COMFORTZ 10ML EYE DROPS,,AICE HEALTHCARE CARE PVT LTD,PHARMA,DROPS,
COM0612,"COMMODE ELEVATED SEAT 10CM 4""(VISSCO)",,VIS-VISSCO REHABILITATION AIDS,SURGICAL,SURGICALS,
COM0623,COMBISAFE TAB 10'S,,ALNICHE LIFE SCIENCES PVT LTD,PHARMA,TABLET,
COM0648,COM-CZ ORANGE FLAV CHEW TAB 15'S,,COMED CHEMICALS PVT LTD,PHARMA,TABLET,
COM0705,COMPLETE TRAY FOR THORACIC DRAINAGE 639.24 (VYGON),,VYGON,SURGICAL,CONSUMABLES,
COM0707,COMFIRX 0.1% EYE DROPS 5ML,,IRX PHARMACEUTICALS PVT LTD,PHARMA,EYE DROPS,
CON0002,CONCOR 10MG TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0003,CONCOR 2.5MG TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0004,CONCOR 5MG TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0005,CONCOR AM 2.5MG TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0006,CONCOR AM 5MG TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0021,CONTRAMAL SR 100MG TAB 10'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
CON0035,CONCOR COR 2.5MG TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0038,CONTRACTUBEX 20G GEL,,WIN MEDICARE LTD,PHARMA,OINTMENT,
CON0041,HIMALAYA CONFIDO CAPSULES 60'S,,THE HIMALAYA DRUG COMPANY-(PHARMA),FMCG,OTC,
CON0046,CONTOUR TS GLUCOSE STRIPS 50'S (BAYER),,BAYER CORPORATION,SURGICAL,RE-HABILITATION,
CON0055,CONTIFLO ICON 0.4MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
CON0063,CONTIFLO D TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
CON0096,CONTIFLO D KIT CAP,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
CON0099,CONSIVAS 10MG TAB 10'S,,EMCURE PHARMACEUTICALS LTD,PHARMA,TABLET,
CON0168,CONCOR PLUS TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0169,CONCOR COR 1.25MG TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0178,CONSERN 5F TAB 10'S,,CONSERN PHARMA LTD,PHARMA,TABLET,
CON0208,CONSERN 20MG TAB 10'S,,CONSERN PHARMA LTD,PHARMA,TABLET,
CON0219,CONTROLOC D TAB 10'S,,REPLIGEN LIFE SCIENCE PVT. LTD,PHARMA,TABLET,
CON0247,CONCEVA-M TAB 10'S,,VIVO LIFESCIENCE PVT LTD,PHARMA,TABLET,
CON0254,CONCOR COR 5MG TAB 10'S,,MERCK LTD,PHARMA,TABLET,
CON0256,CONTRAPILL-KIT TAB,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,TABLET,
CON0274,CONSEVEL CAP 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,CAPSULE,
CON0339,CONVIDEX FORTE TAB 10'S,,BAJAJ PHARMACEUTICAL PVT LTD,PHARMA,TABLET,
CON0341,CONCEVA F TAB 10'S,,VIVO LIFESCIENCE PVT LTD,PHARMA,TABLET,
CON0342,CONTOUR PLUS GLUCOSE MONITOR WITH TEST STRIPS 50'S (BAYER),,BAYER CORPORATION,SURGICAL,RE-HABILITATION,
CON0344,CONSIVAS ASP CAP 10'S,,EMCURE PHARMACEUTICALS LTD,PHARMA,CAPSULE,
CON0376,CONOS TAB 10'S,,BIO-BIOTICS LABS,FMCG,OTC,
CON0379,CONCLAV 625MG TAB 10'S,,PARADIGM PHARMACEUTICALS P LTD,PHARMA,TABLET,
CON0401,CONTOUR PLUS GLUCOSE TEST STRIPS 25'S (BAYER),,BAYER CORPORATION,SURGICAL,RE-HABILITATION,
CON0404,CONCIRON-O TAB 10'S,,CONCORD DRUGS LTD,PHARMA,TABLET,
CON0418,CONCITOR-40MG TAB 10'S,,CONCORD DRUGS LTD,PHARMA,TABLET,
CON0430,CONCEVA 5GM GEL,,VIVO LIFESCIENCE PVT LTD,PHARMA,INJECTION,
CON0443,CONTOUR PLUS GLUCOSE TEST STRIPS 2 X 25'S (ASCENSIA),,ASCENSIA DIABETES CARE,SURGICAL,RE-HABILITATION,
CON0446,CONFICHARGE GOLD TAB 10'S,,TORWAY PHARMACIA (P) LTD,PHARMA,TABLET,
CON0460,CONCITOR-100MG TAB 10'S,,RENCORD PHARMACEUTICALS LTD,PHARMA,TABLET,
CON0463,CONIDEP-4MG TAB 10'S,,MEDIARKA LIFE SCIENCES PVT LTD,PHARMA,TABLET,
CON0465,CONJOINT 3D CAP 10'S,,MEDLEY PHARMACEUTICALS PVT LTD,PHARMA,CAPSULE,
CON0469,CONTOUR TS GLUCOSE TEST STRIPS 2 X 50'S (ASCENSIA),,ASCENSIA DIABETES CARE,SURGICAL,RE-HABILITATION,
CON0471,CONSIVAS GOLD 10MG CAP 10'S,,EMCURE PHARMACEUTICALS LTD,PHARMA,TABLET,
CON0472,CONSIVAS GOLD 20MG CAP 10'S,,EMCURE PHARMACEUTICALS LTD,PHARMA,CAPSULE,
CON0508,CONTROL D BLOOD GLUCOSE STRIPS 100'S (HAIDEN),,HAIDEN,SURGICAL,SURGICALS,
CON0511,CONDRO SAVE TAB 10'S,,SINAG HEALTHCARE PVT LTD,PHARMA,TABLET,
CON0518,CO-NYROS SACHET 9.2G,,NUTRAGENIX HEALTHCARE PVT LTD,PHARMA,POWDER,
CON0520,CONTRANAC-200MG TAB 10'S,,VINTAS PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
CON0556,CO-NYROS CAP 10'S,,NUTRAGENIX HEALTHCARE PVT LTD,PHARMA,CAPSULE,
CON0557,CONTROL D TEST STRIPS 25'S (HAIDEN),,HAIDEN,SURGICAL,RE-HABILITATION,
CON0567,CONTIFLO T CAP 10'S,,SUN PHARMA LABORATORIES LTD.,PHARMA,CAPSULE,
CON0572,CONSTIKIND TAB 10'S,,KINDSPIRIT PHARMACEUTICALS,PHARMA,TABLET,
COO0020,COOLPIX 20MG TAB 10'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
COO0031,COOLPIX DSR CAP 10'S,,CIPLA LTD,PHARMA,CAPSULE,
COO0102,COOLORA  MOUTHWASH 100ML,,IPCA LABORATORIES PVT LTD,PHARMA,LIQUID,
COP0003,COPE TAB 10'S,,MANKIND PHARMA PVT LTD,PHARMA,TABLET,
COQ0001,COQ  FORTE  CAP 10'S,,SANOFI AVENTIS INDIA LTD,PHARMA,CAPSULE,
COQ0002,COQ 30 CAP 10'S,,SANOFI AVENTIS INDIA LTD,PHARMA,CAPSULE,
COQ0007,COQ 300 MG CAP 15'S,,SANOFI AVENTIS INDIA LTD,PHARMA,CAPSULE,
COQ0010,CO Q CAP 10'S,,SANOFI AVENTIS INDIA LTD,PHARMA,CAPSULE,
COQ0014,COQ 10MG CAP 10'S,,SANOFI AVENTIS INDIA LTD,PHARMA,CAPSULE,
COQ0025,CO Q MAX 300MG SOFTGEL CAP 10'S,,ZERICO LIFESCIENCES PVT LTD,PHARMA,CAPSULE,
COQ0027,COQ LC TAB 10'S,,SANOFI AVENTIS INDIA LTD,PHARMA,TABLET,
COQ0037,CO-QLENT TAB 10'S,,CROMULENT HEALTH CARE LTD,PHARMA,TABLET,
COR0006,CORBIS 2.5MG TAB 15'S,,UNICHEM LABORATORIES LTD.,PHARMA,TABLET,
COR0007,CORBIS 5MG TAB 15'S,,UNICHEM LABORATORIES LTD.,PHARMA,TABLET,
COR0010,CORDARONE 100MG TAB 10'S,,SANOFI AVENTIS INDIA LTD,PHARMA,TABLET,
COR0013,"CORDARONE ""X"" TAB - 200MG",,SANOFI AVENTIS INDIA LTD,PHARMA,TABLET,
COR0016,COREX DX 100ML SYP,,PFIZER LTD,PHARMA,LIQUID,
COR0018,CORIMINIC 60ML SYP,,WANBURY LTD,PHARMA,LIQUID,
COR0019,CORIMINIC ORAL 15ML DROPS,,WANBURY LTD,PHARMA,DROPS,
COR0021,CORIMINIC TAB 10'S,,WANBURY LTD,PHARMA,TABLET,
COR0043,CORT-S 100MG INJ,,NEON LABORATORIES LTD,PHARMA,INJECTION,
COR0046,CORVADIL 5MG TAB 10'S,,UNICHEM LABORATORIES LTD.,PHARMA,TABLET,
COR0050,CORTECYCLINE 3G EYE OINT,,SYNTHO PHARMACEUTICALS PVT LTD,PHARMA,OINTMENT,
COR0051,CORUS SOFT GEL CAP 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
COR0062,COREX DX 50ML SYP,,PFIZER LTD,PHARMA,LIQUID,
COR0064,CORIMINIC PLUS 60ML SYP,,WANBURY LTD,PHARMA,LIQUID,
COR0067,CORIMINIC XT EXP 100ML,,WARREN PHARMACEUTICALS LTD,PHARMA,LIQUID,
COR0074,CORCIUM 225MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0094,CORDEF 6MG TAB 6'S,,ALT-ALNA BIO-TECH,PHARMA,TABLET,
COR0095,CORTIMAX 24MG TAB 6'S,,ZUVENTUS HEALTHCARE LTD,PHARMA,TABLET,
COR0116,CORALAN 5MG TAB 14'S,,SERDIA PHARMACEUTICALS INDIA PVT LTD,PHARMA,TABLET,
COR0118,COREX T 100ML SYR,,PFIZER LTD,PHARMA,LIQUID,
COR0150,CORTISOL 30GM CREAM,,PYSCOREMEDIES,PHARMA,OINTMENT,
COR0151,CORECTIA 100 MG CAP 10'S,,PHARMED LIMITED,PHARMA,CAPSULE,
COR0170,CORBIS-H 5MG TAB 10'S,,UNICHEM LABORATORIES LTD.,PHARMA,TABLET,
COR0187,CORTEL 40MG TAB 10'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0189,CORTEL H 40MG TAB 10'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0196,CORTEL A TAB 10'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0203,CORCIUM PLUS CAP 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0217,CORALAN 7.5MG TAB 14'S,,SERDIA PHARMACEUTICALS INDIA PVT LTD,PHARMA,TABLET,
COR0233,CORCIUM K2 TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0244,CORCAL 500MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0272,COR G TAB 10'S,,CORPORATE LABS LTD,PHARMA,TABLET,
COR0311,CORBY EYE DROPS,,MAX NODAZ LIFE SCIENCES,PHARMA,DROPS,
COR0319,CORTOR PLUS 10MG TAB 10'S,,CORAL PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
COR0332,CORMET XL 50MG TAB 10'S,,CORAL PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
COR0334,CORTOR 10MG TAB 10'S,,CORAL PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
COR0335,CORTOR 20MG TAB 10'S,,CORAL PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
COR0336,CORTOR PLUS 20MG TAB 10'S,,CORAL PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
COR0342,CORPANOL LA 40MG TAB 10'S,,CORAL PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
COR0358,CORTENT 30MG OINT,,LA PRISTINE BIOCEUTICALS LTD,PHARMA,OINTMENT,
COR0379,CORIMINIC-P 60ML  SYP,,WANBURY LTD,PHARMA,LIQUID,
COR0382,COR-3 TAB 15'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0428,CORCAL D 400IU TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0430,CORTEL M 50MG  TAB 10'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0439,CORCIUM D3 TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0470,CORALIUM-D3 TAB 10'S,,ZUVENTUS HEALTHCARE LTD,PHARMA,TABLET,
COR0473,CORBY EYE GEL 10ML,,MAX NODAZ LIFE SCIENCES,PHARMA,LIQUID,
COR0480,CORTEL CH 40 TAB 10'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0487,CORIMINIC P TAB 10'S,,WANBURY LTD,PHARMA,TABLET,
COR0540,CORBIS AM-2.5 TAB 10'S,,UNICHEM LABORATORIES LTD.,PHARMA,TABLET,
COR0541,CORBIS AM-5 TAB 10'S,,UNICHEM LABORATORIES LTD.,PHARMA,TABLET,
COR0550,CO-ROSIFLEX ACE 10GM SACHET,,KINEDEX HEALTH CARE PVT LTD,PHARMA,POWDER,
COR0566,COR-3D SOFTGEL CAP 10'S,,CORONA REMEDIES LTD,PHARMA,CAPSULE,
COR0568,CORTEL-LN TAB 10'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0580,CORPARIN-60MG/0.6ML PFS WITH STAKED NEEDLE INJ,,CORONA REMEDIES LTD,PHARMA,INJECTION,
COR0584,CORTIRATE CREAM 30G,,MESOVA PHARMACEUTICALS PVT LTD,PHARMA,OINTMENT,
COR0614,COREX LS  S/F 100ML SYP,,SANZYME BIOLOGICS LTD,PHARMA,LIQUID,
COR0617,CORIMINIC LS 100ML SYP,,WANBURY LTD,PHARMA,LIQUID,
COR0628,CORCIUM FIT TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0629,CORCAL BONE & BEAUTY 225MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0634,CORTENT-N 15GM CREAM,,LA PRISTINE BIOCEUTICALS LTD,PHARMA,OINTMENT,
COR0635,CORTEL-A 40MG TAB 15'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0636,CORTEL-H 40MG TAB 15'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0638,CORTEL TRIO 5MG TAB 15'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0642,CORTEL 80MG TAB 15'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0644,CORTEL 40MG TAB 15'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0647,CORTEL LN TAB 15'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0648,CORTEL-CH 40MG TAB 15'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0649,CORCIUM 225MG TAB 15'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0650,CORCIUM D3 TAB 15'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0659,CORECTIA M TAB 10'S,,PHARMED LIMITED,PHARMA,TABLET,
COR0661,COREX LS JUNIOR SYRUP 60ML,,PFIZER LTD,PHARMA,LIQUID,
COR0667,CORPIRON-300MG SR TAB 10'S,,AXNTURE HEALTHCARE LTD,PHARMA,TABLET,
COR0689,CORCIUM HD TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0696,CORSANGO-D3 SUSP 100ML,,H&H PHARMACEUTICALS LTD,PHARMA,LIQUID,
COR0702,CORCAL D 400IU TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
COR0709,CORBIS-1.25MG TAB 15'S,,TORRENT (AZUCA),PHARMA,TABLET,
COR0723,CORABRAD 5MG TAB 10'S,,MANKIND PHARMA PVT LTD,PHARMA,TABLET,
COR0728,CORTAZ 0.05%W/W FOAM 50G,,TORRENT (AZUCA),PHARMA,OINTMENT,
COR0733,CORTEL AZ 40/8 TAB 10'S,,CORONA REMEDIES LTD,PHARMA,TABLET,
COR0748,CORDARONE X 200 TAB 15'S,,SANOFI AVENTIS INDIA LTD,PHARMA,TABLET,
COR0751,CORDARONE 100 TAB 15'S,,SAN-SANOFI,PHARMA,TABLET,
COR0765,CORTIACE-30 TAB 10'S,,BAXIUM HEALTHCARE,PHARMA,TABLET,
COS0002,COSART 25MG TAB 10'S,,CIPLA LTD,PHARMA,TABLET,
COS0005,COSCOPIN BR 100ML SYP,,BIOLOGICAL E LTD,PHARMA,LIQUID,
COS0006,COSCOPIN LINCTUS - 100ML ***,,BIOLOGICAL E LTD,PHARMA,LIQUID,
COS0007,COSCOPIN PD 50ML,,BIOLOGICAL E LTD,PHARMA,LIQUID,
COS0008,COSCOPIN PLUS -100 ML ***,,BIOLOGICAL E LTD,PHARMA,LIQUID,
COS0016,COSVATE - 15GRM CREAM,,COSME FARMA LTD,PHARMA,OINTMENT,
COS0017,COSVATE - GM 15GRM CREAM,,COSME FARMA LTD,PHARMA,OINTMENT,
COS0020,COSKLOT MF TAB 10'S,,CFL PHARMACEUTICALS LTD,PHARMA,TABLET,
COS0028,COSKLOT 250MG TAB 10'S,,ADCOCK INGRAM HEALTHCARE PVT LTD,PHARMA,TABLET,
COS0029,COSOME SYP - 100ML,,MERCK LTD,PHARMA,LIQUID,
COS0031,COSVATE G 15GM   CREAM,,OAKNET LIFE SCIENCES PVT LTD,PHARMA,OINTMENT,
COS0033,COSART H TAB 10'S,,CIPLA LTD,PHARMA,TABLET,
COS0039,COSMELITE CREAM 20G,,COSME FARMA LTD,PHARMA,OINTMENT,
COS0061,COSGLO 15GM GEL,,OAKNET LIFE SCIENCES PVT LTD,PHARMA,OINTMENT,
COS0100,COSLYTE ORANGE 4.2 GM POWDER,,OAKNET LIFE SCIENCES PVT LTD,PHARMA,POWDER,
COS0138,COSMOVASH FACE WASH GEL 100ML,,COS-COSMOGEN,FMCG,PERSONAL CARE,
