item_code,brand_x,brand_y,id,mrp,Apollo code,Apollo brand,manufacturer
MIC0481,micafex 150mg inj,micafex 150mg injection,380559,19990,MIC0481,micafex 150mg inj,ZYMES BIOSCIENCE PVT LTD
MIN0292,minoil soap 75gm,minoil soap 75gm,241565,108,MIN0292,minoil soap 75gm,NEMUS PHARMACETICALS PVT LTD
MIN0318,min-d3 granules 1g,min d3 granules 1gm,241391,27.75,MIN0318,min-d3 granules 1g,ZYDUS CADILA HEALTHCARE LTD
MIN0494,mindfull syrup 200ml,mindfull syrup 200ml,380863,1199,MIN0494,mindfull syrup 200ml,HOUSTON SCIENTIFIC
MOM0007,momate lotion 5ml,momate lotion 5ml,243037,280,MOM0007,momate lotion 5ml,GLENMARK PHARMACEUTICAL LTD
MOM0021,momate lotion 15ml,momate lotion 15ml,243038,158,MOM0021,momate lotion 15ml,GLENMARK PHARMACEUTICAL LTD
MOO0034,moov neck & shoulder gel 15gm,moov neck & shoulder gel 15gm,243986,38,MOO0034,moov neck & shoulder gel 15gm,RECKITT BENCKISERINDIALTD
MTL0002,mtlac syrup 200ml,mtlac syrup 200ml,245606,174.5,MTL0002,mtlac syrup 200ml,COSME FARMA LTD
MUC0270,mucomix 200mg injection 2ml,mucomix 200mg/ml injection 2ml,245744,50.27,MUC0270,mucomix 200mg injection 2ml,3M INDIA LTD
MUL0043,multidec forte syrup 200ml,multidec forte syrup 200ml,245928,119,MUL0043,multidec forte syrup 200ml,ASHOK PHARMA LTD
MUL0204,multigates syp 200 ml,multigates syrup 200ml,245947,230,MUL0204,multigates syp 200 ml,GATES BYBY PHARMACEUTICALS PVT LTD
MYD0006,my dr pain relief oil 60ml,my dr pain relief oil 60ml,246716,169,MYD0006,my dr pain relief oil 60ml,HEALING HASTHA HERBAL CONCEPTS
NAG0027,nagarjuna gandha thailam  10ml,nagarjuna gandha thailam 10ml,247970,62,NAG0027,nagarjuna gandha thailam  10ml,NAG-NAGARJUNA HERBAL CONCENTRA
NEO0206,neovec 4mg inj 2ml ***,neovec 4mg injection 2ml,384558,124,NEO0206,neovec 4mg inj 2ml ***,GANESH PHARMACEUTICALS
NGM0004,ngmine 250 inj,ngmine 250mg injection,379494,9350.6,NGM0004,ngmine 250 inj,SAMARTH LIFESCIENCES PVT LTD
NIC0110,nicofer syrup 300ml,nicofer syrup 300ml,253079,70.4,NIC0110,nicofer syrup 300ml,ADONIS LABORATORIES PVT LTD
NIC0308,nicotex 4mg fruit burst gum 9s,nicotex 4mg fruit burst gum 9s,381420,105,NIC0308,nicotex 4mg fruit burst gum 9s,3M INDIA LTD
NMF0023,nmf e daily moisturising baby wash 200ml,nmf e daily moisturising baby wash 200ml,381587,390,NMF0023,nmf e daily moisturising baby wash 200ml,PALSONS DRUGS & CHEMICAL INDUSTRIES
NOV0083,novazyme syrup 200ml,novazyme syrup 200ml,256509,108,NOV0083,novazyme syrup 200ml,NOVOSTART LIFESCIENCES PVT LTD
NOV0323,novale bar soap 125gm,novale bar 125gm,256365,159,NOV0323,novale bar soap 125gm,PALSONS DRUGS & CHEMICAL INDUSTRIES
NUT0557,nutrivit drops 30ml,nutrivit drop 30ml,258658,44,NUT0557,nutrivit drops 30ml,ULTRATECH PHARMACEUTICALS
O2D0001,o2 derm cream 10 gm ***,o2 derm cream 10gm,259260,49,O2D0001,o2 derm cream 10 gm ***,MED-MEDLY
OBC0010,ob cal d syp 200 ml,ob cal d syrup 200ml,259316,69.9,OBC0010,ob cal d syp 200 ml,OBSURGE BIOTECH PVT LTD
OBR0013,obril gold skin serum 30ml,obril gold skin serum 30ml,379757,799,OBR0013,obril gold skin serum 30ml,BRINTON PHARMACEUTICAL PVT LTD
OCE0007,ocepred eye drops 5ml,ocepred eye drop 5ml,259568,24,OCE0007,ocepred eye drops 5ml,SUN PHARMACEUTICAL INDUSTRIES LTD
ODO0017,odomos naturals lotion 120 ml,odomos naturals lotion 120ml,260054,90,ODO0017,odomos naturals lotion 120 ml,DABUR INDIA LTD
ONS0002,onsetrin  2ml inj,onsetrin 2mg injection 2ml,264718,32.48,ONS0002,onsetrin  2ml inj,SUN PHARMACEUTICAL INDUSTRIES LTD
OPT0212,optive fusion e/d 5ml,optive fusion eye drop 5ml,265451,121.7,OPT0212,optive fusion e/d 5ml,ALLERGAN IND PVT LTD
ORA0339,ora expert anti dandruff shampoo 200ml,ora expert anti dandruff shampoo 200ml,378508,700,ORA0339,ora expert anti dandruff shampoo 200ml,STRENUOUS HEALTHCARE PVT LTD
OXA0088,oxarex 100mg inj,oxarex 100mg injection,379361,4275,OXA0088,oxarex 100mg inj,AXIOMMAX ONCOLOGY PVT LTD
OXA0089,oxarex 50mg inj,oxarex 50mg injection,379362,2500,OXA0089,oxarex 50mg inj,AXIOMMAX ONCOLOGY PVT LTD
OXY0424,oxydex syrup 60ml,oxydex syrup 60ml,379294,90,OXY0424,oxydex syrup 60ml,APEX LABORATORIES LTD
PAN1260,pantabion-l ns syrup 200ml,pantabion l ns syrup 200ml,270672,81,PAN1260,pantabion-l ns syrup 200ml,GALPHA LABORATARIES LTD
PAR0710,paraszyme syrup 200ml,paraszyme syrup 200ml,271885,70,PAR0710,paraszyme syrup 200ml,PARAS PHARAMACEUTICALS LTD.
PEE0071,peesafe toilet seat sanitizer spray 75ml,peesafe toilet seat sanitizer spray 75ml,273787,180,PEE0071,peesafe toilet seat sanitizer spray 75ml,3M INDIA LTD
PEP0036,pepsigard-o suspension 100ml,pepsigard o suspension 100ml,274620,219,PEP0036,pepsigard-o suspension 100ml,SAF FERMION LTD
PEP0102,peptica gel 200ml ***,peptica gel 200ml,274650,44.4,PEP0102,peptica gel 200ml ***,GEO-GENO
PEP0301,peptica gel 200ml,peptica gel 200ml,274650,84,PEP0301,peptica gel 200ml,GENO PHARMACEUTICALS LTD
PHE0161,phesgo 1200/600mg inj 15ml,phesgo 1200mg/600mg injection 15ml,380667,535000,PHE0161,phesgo 1200/600mg inj 15ml,ROC-ROCHE PRODUCTS LTD
PIG0173,pigeon  baby oil 200ml,pigeon baby oil 200ml,275973,285,PIG0173,pigeon  baby oil 200ml,PIGEON INDIA PVT. LTD
PRE1263,preda-met 500mg inj,preda met 500mg injection,378304,665,PRE1263,preda-met 500mg inj,AAA PHARMA TRADE PVT LTD
PRO0367,profit syrup 450ml,profit syrup 450ml,280920,89.5,PRO0367,profit syrup 450ml,SHD-SHANTI DENTAL & MEDICAL CO
PRU0103,prunix lotion 25ml,prunix lotion 25ml,378874,249,PRU0103,prunix lotion 25ml,INZPERA HEALTH SCIENCES LTD
PSO0065,psoratec solution 200ml,psoratec solution 200ml,377529,210,PSO0065,psoratec solution 200ml,CUTE CARE LIFE SCIENCE PVT LTD
PSO0078,psorapex gel 50gm,psorapex gel 50gm,379280,160,PSO0078,psorapex gel 50gm,3M INDIA LTD
RAJ0043,rajnish lotion 10ml,rajnish lotion 10ml,286049,33,RAJ0043,rajnish lotion 10ml,3M INDIA LTD
RAN0192,rantac syrup (30ml),rantac syrup 30ml,286823,38,RAN0192,rantac syrup (30ml),J B CHEMICALS & PHARMACEUTICALS LTD
REB0037,reboot drops 15ml,reboot drop 15ml,287651,25.3,REB0037,reboot drops 15ml,PIRAMAL HEALTHCARE LTD
RED0274,red-iron syrup 100ml,red iron syrup 100ml,287974,47,RED0274,red-iron syrup 100ml,SURGE PHARMACEUTICALS PVT LTD
RES0164,respicure p syp 60ml ***,respicure p syrup 60ml,289847,45,RES0164,respicure p syp 60ml ***,CORONA REMEDIES LTD
RES0376,restylane night cream 50ml,restylane night cream 50ml,290076,2600,RES0376,restylane night cream 50ml,GALDERMA INDIA PVT LTD
RES0396,restylane recover cream 15ml,restylane recover cream 15ml,290077,2600,RES0396,restylane recover cream 15ml,GALDERMA INDIA PVT LTD
RES0737,resource dialysis powder 200gm,resource dialysis powder 200gm,289812,899,RES0737,resource dialysis powder 200gm,3M INDIA LTD
RHE0017,nagarjuna rheumat balm 20gm,nagarjuna rheumat balm 20gm,248045,35,RHE0017,nagarjuna rheumat balm 20gm,NAG-NAGARJUNA
ROC0025,rockbon sachet 1g,rockbon sachet 1gm,292377,27,ROC0025,rockbon sachet 1g,NICHOLAS PIRAMAL INDIA LTD
ROM0151,romiset 250mcg inj,romiset 250mcg injection,380279,2995,ROM0151,romiset 250mcg inj,ALKEM LABORATORIES LTD
ROM0152,romiset 500mcg inj,romiset 500mcg injection,381596,5990,ROM0152,romiset 500mcg inj,ALKEM LABORATORIES LTD
ROS0205,roselina drops 15ml,roselina drop 15ml,293166,64.25,ROS0205,roselina drops 15ml,UTH HEALTHCARE LTD
RUS0031,rusoft ultra eye drops 10ml,rusoft ultra eye drops 10ml,378905,193,RUS0031,rusoft ultra eye drops 10ml,RUNYON PHARMACEUTICAL PVT LTD
RUT0089,rutif-od eye drops 5ml,rutif od eye drops 5ml,378903,143,RUT0089,rutif-od eye drops 5ml,RUNYON PHARMACEUTICAL PVT LTD
RYN0012,ryno-az 9.8ml nasal spray 70md,ryno az 9.8ml nasal spray 70md,379059,439,RYN0012,ryno-az 9.8ml nasal spray 70md,LINCOLIN PHARMACEUTICALS LTD
SAL0446,salisia tv 2% lotion 50ml,salisia tv 2% lotion 50ml,296019,275,SAL0446,salisia tv 2% lotion 50ml,AJANTA PHARMA LTD
SAN0406,sanosan baby care cream 150ml,sanosan baby care cream 150ml,379077,675,SAN0406,sanosan baby care cream 150ml,GLOWDERMA LAB PVT LTD
SAN0410,sanosan baby care cream 75ml,sanosan baby care cream 75ml,382841,410,SAN0410,sanosan baby care cream 75ml,GLOWDERMA LAB PVT LTD
SAN0415,sanosan baby care oil 200ml,sanosan baby care oil 200ml,379078,600,SAN0415,sanosan baby care oil 200ml,GLOWDERMA LAB PVT LTD
SAV0046,savlon deep clean hand wash 200 ml,savlon deep clean hand wash 200ml,377799,95,SAV0046,savlon deep clean hand wash 200 ml,ITC LIMITED
SEB0037,sebamed clear face cleansing foam 150ml ***,sebamed clear face cleansing foam 150ml,377794,630,SEB0037,sebamed clear face cleansing foam 150ml ***,USV LTD
SEB0040,sebamed clear face cleansing foam 150ml,sebamed clear face cleansing foam 150ml,377794,630,SEB0040,sebamed clear face cleansing foam 150ml,USV LTD
SEB0085,sebamed clear face facial toner 150ml,sebamed clear face facial toner 150ml,309274,400,SEB0085,sebamed clear face facial toner 150ml,USV LTD
SEB0101,sebamed baby shampoo 500ml,sebamed baby shampoo 500ml,381061,900,SEB0101,sebamed baby shampoo 500ml,USV LTD
SEB0103,sebamed baby gentle wash 400ml ***,sebamed baby gentle wash 400ml,377791,850,SEB0103,sebamed baby gentle wash 400ml ***,USV LTD
SEB0150,sebamed baby face & body wash foam 400ml,sebamed baby face & body wash foam 400ml,379570,900,SEB0150,sebamed baby face & body wash foam 400ml,USV LTD
SEB0163,sebamed baby gentle wash 400ml,sebamed baby gentle wash 400ml,377791,829,SEB0163,sebamed baby gentle wash 400ml,USV LTD
SEP0013,septran paed oral suspension 60ml,septran paediatric oral suspension 60ml,378002,14.7,SEP0013,septran paed oral suspension 60ml,GLAXO SMITHKLINE PHARMACEUTICALS LTD
SHI0040,shiny cream 15gm,shiny cream 15gm,311456,125,SHI0040,shiny cream 15gm,AARMAC LABS
SHY0011,shy -or oral rinse 250ml,shy  or oral rinse 250ml,311644,150,SHY0011,shy -or oral rinse 250ml,GROUP PHAMRACEUTICALS LTD
SHY0018,shy-or oral rinse-110ml,shy  or oral rinse 110ml,311643,99,SHY0018,shy-or oral rinse-110ml,3M INDIA LTD
SKI0025,skinetics lotion 200ml,skinetics lotion 200ml,313295,185,SKI0025,skinetics lotion 200ml,DABUR INDIA LTD
SLI0062,slipizem 5mg suppositories,slipizem 5mg suppository 5,313525,11.2,SLI0062,slipizem 5mg suppositories,BLISS PHARMACEUTICALS LTD
SMO0034,smoflipid 20% infusion 250ml,smoflipid 20% infusion 250ml,313748,839,SMO0034,smoflipid 20% infusion 250ml,FRESENIUS KABI INDIA PVT LTD
STR0566,stren pro kit lotion 100ml,stren pro kit lotion 100ml,378468,2199,STR0566,stren pro kit lotion 100ml,STRENUOUS HEALTHCARE PVT LTD
SUC0015,sucral o suspension 100ml,sucral o suspension 100ml,318322,146.5,SUC0015,sucral o suspension 100ml,STRASSENBURG PHARMACEUTICALS LTD
SUN0407,sunwok lotion 50ml,sunwok lotion 50ml,319141,250,SUN0407,sunwok lotion 50ml,WOA-WOAKES PHARMA  MARKETED
TER0026,terpect syrup 60ml,terpect syrup 60ml,324970,45,TER0026,terpect syrup 60ml,THEMIS PHARMACEUTICALS LTD
TOB0039,tobram-d eye drops 5ml,tobram d eye drop 5ml,327122,14.56,TOB0039,tobram-d eye drops 5ml,PHARMACARE LABORATORIES PVT LTD
TOR0196,torrelax syp 100ml,torrelax syrup 100ml,328099,100,TOR0196,torrelax syp 100ml,TORRENT PHARMACEUTICALS LTD
TOR0375,torsepure 10mg inj 2ml,torsepure 10mg injection 2ml,378615,21.77,TOR0375,torsepure 10mg inj 2ml,AAA PHARMA TRADE PVT LTD
TRA1058,travoflo-t eye drops 3ml,travoflo-t eye drops 3ml,378985,330,TRA1058,travoflo-t eye drops 3ml,IPCA LABORATORIES PVT LTD
TRI1146,tricomax ag scalp lotion 60ml,tricomax ag scalp lotion 60ml,329570,540,TRI1146,tricomax ag scalp lotion 60ml,NEWTRIMED HEALTHCARE PVT LTD
TRI1228,tricomax scalp 60ml lotion,tricomax scalp 60ml lotion 60ml,329567,490,TRI1228,tricomax scalp 60ml lotion,BON-BONN SCHTERING BIO SCIENCE
TRI1524,tri-activ disinfectant spray 230ml,tri activ disinfectant spray 230ml,380636,159,TRI1524,tri-activ disinfectant spray 230ml,PIRAMAL PHARMA LIMITED
TRI1744,tricoshine shampoo 200ml,tricoshine shampoo 200ml,379404,745,TRI1744,tricoshine shampoo 200ml,ZEDTECH PHARMA LLP
TRO0125,tropine 0.6mg inj 1ml ***,tropine 0.6mg injection 1ml,330614,3.9,TRO0125,tropine 0.6mg inj 1ml ***,NEON LABORATORIES LTD
TRU0217,trump a syrup 50ml,trump a syrup 50ml,331059,29.9,TRU0217,trump a syrup 50ml,ALKEM LABORATORIES LTD
TUL0050,dabur tulsi drops 30ml,dabur tulsi drops 30ml,382233,195,TUL0050,dabur tulsi drops 30ml,DABUR INDIA LTD
ULT0310,ultraglow face wash 100ml,ultraglow face wash 100ml,377132,370,ULT0310,ultraglow face wash 100ml,CUTE CARE LIFE SCIENCE PVT LTD
UNI0267,unical b12 syrup 200ml,unical b12 syrup 200ml,333293,59,UNI0267,unical b12 syrup 200ml,UNICHEM LABORATORIES LTD.
UR10003,u.r.10 cream 80gm,u.r.10 cream 80gm,381155,225,UR10003,u.r.10 cream 80gm,SURYAVEDA COSMECEUTICALS PVT LTD
URE0014,urea 20% lotion 50ml,urea 20% lotion 50ml,385633,37,URE0014,urea 20% lotion 50ml,PARKER ROBINSON PVT LTD
VIC0023,vicks vaporub 10ml,vicks vaporub 10gm,380648,35,VIC0023,vicks vaporub 10ml,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED
VIC0025,vicks vaporub 5ml,vicks vaporub 5ml,380649,19,VIC0025,vicks vaporub 5ml,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED
VIC0395,vicks baby rub 10ml,vicks baby rub 10ml,381303,40,VIC0395,vicks baby rub 10ml,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED
VIS0245,vista ha 0.1% eye drops 10ml,vista ha 0.1% eye drop 10ml,378205,245,VIS0245,vista ha 0.1% eye drops 10ml,CADILA HEALTHCARE LTD
VIT0554,vitazyme syrup 60ml,vitazyme syrup 60ml,339235,55,VIT0554,vitazyme syrup 60ml,EAST INDIA PHARMACEUTICALS
VIT0648,vitsera serum 50ml,vitsera serum 50ml,339512,990,VIT0648,vitsera serum 50ml,ALNICHE LIFE SCIENCES PVT LTD
VOM0014,vomiteb syp 60ml ***,vomiteb syrup 60ml,378401,36,VOM0014,vomiteb syp 60ml ***,CHARAK PHARMA PVT LTD
VOM0120,vomihalt 2ml inj,vomihalt 2 mg injection 2ml,340785,16.49,VOM0120,vomihalt 2ml inj,IPCA LABORATORIES PVT LTD
VRH0001,vrh moisturizing lotion 150ml,vrh moisturizing lotion 150ml,341302,250,VRH0001,vrh moisturizing lotion 150ml,ADONIS LABORATORIES PVT LTD
WAY0037,wayferol oral suspension 200ml,wayferol oral suspension 200ml,381068,210,WAY0037,wayferol oral suspension 200ml,WAYLON BIOTECH PVT LTD
WEL0303,weltone gold syrup 200ml,weltone gold syrup 200ml,379309,187,WEL0303,weltone gold syrup 200ml,AKUMENTIS HEALTHCARE LTD
XER0072,xero-itch lotion 60ml,xero itch lotion 60ml,380840,240,XER0072,xero-itch lotion 60ml,INDOLANDS PHARMA PVT LTD
XFO0003,xfolia hair growth serum 60ml,xfolia hair growth serum 60ml,378680,795,XFO0003,xfolia hair growth serum 60ml,GENO PHARMACEUTICALS LTD
ZAN0012,zandu balm 25 ml,zandu balm 25ml,345766,95,ZAN0012,zandu balm 25 ml,EMAMI LTD
ZAN0194,zandu vishtinduk vati 40's,zandu vishtinduk vati 40s,345835,28,ZAN0194,zandu vishtinduk vati 40's,EMAMI LTD
ZIN0559,zincal cream 10gm,zincal cream 10gm,348215,27,ZIN0559,zincal cream 10gm,ALIVE LIFE SCIENCES PVT LTD
ADM0004,admax r cap 10's,admax r capsule 10s,105487,8.15,ADM0004,admax r cap 10's,ZUVENTUS HEALTHCARE LTD
ADV0083,advagraf 3mg pr cap 10's,advagraf 3mg pr capsule 10s,381726,270,ADV0083,advagraf 3mg pr cap 10's,ASTELLAS PHARMA INDIA PVT LTD
AFI0027,afitra-sb 50 cap 10's,afitra-sb 50 capsule 10s,380532,15,AFI0027,afitra-sb 50 cap 10's,RAPROSS PHARMACEUTICALS PVT LTD
AGA0030,agatha-r20 cap 10's,agatha r20 capsule 10s,379264,13.5,AGA0030,agatha-r20 cap 10's,AVROHN PHARMA (I) LTD
AGN0014,ag nol softgel cap 30's,ag nol softgel capsule 30s,378332,17950,AGN0014,ag nol softgel cap 30's,AGI-AGIM BIOTECH
AGV0001,ag vitpro softgel cap 10's,ag vitpro softgel capsule 10s,378333,49.9,AGV0001,ag vitpro softgel cap 10's,AGI-AGIM BIOTECH
ALA0082,alameth-pn softgel cap 10's,alameth-pn softgel capsule 10s,378409,26.9,ALA0082,alameth-pn softgel cap 10's,AUREATE HEALTHCARE PVT LTD
ALF0209,alfadosin-8mg cap 10's,alfadosin 8mg capsule 10s,382835,26.9,ALF0209,alfadosin-8mg cap 10's,KAYRA INNOPHARM PVT LTD
ALF0210,alfadosin-4mg cap 10's,alfadosin 4mg capsule 10s,382963,16.6,ALF0210,alfadosin-4mg cap 10's,KAYRA INNOPHARM PVT LTD
ALL0156,allvit cap 10's,allvit capsule 10s,108846,5.5,ALL0156,allvit cap 10's,ADONIS LABORATORIES PVT LTD
ALM0003,almecol-od cap 10's,almecol od capsule 10s,108876,10.52,ALM0003,almecol-od cap 10's,UNISEARCH LAB LTD
AMP0097,ampilin 500 mg cap 10's,ampilin 500mg capsule 10s,111919,5.35,AMP0097,ampilin 500 mg cap 10's,HETERO DRUGS LTD
AMP0227,amplobat cap 10's,amplobat capsule 10s,382848,235,AMP0227,amplobat cap 10's,YENISOWL PHARMACEUTICALS
APE0071,apexitra sb 65 cap 10's,apexitra sb 65mg capsule 10s,381546,14,APE0071,apexitra sb 65 cap 10's,APEX LABORATORIES LTD
APE0072,apexitra sb 130 cap 10's,apexitra sb 130mg capsule 10s,379288,25,APE0072,apexitra sb 130 cap 10's,APEX LABORATORIES LTD
APY0001,apylori cap 30's,apylori capsule 30s,114317,14.91,APY0001,apylori cap 30's,TABLETS INDIA LTD
AQU0136,aquecium cap 30s,aquecium capsule 30s,114454,1895,AQU0136,aquecium cap 30s,GENERIX LIFESCIENCES PVT LTD
ARJ0024,arjopro-l cap 10's,arjopro l capsule 10s,380790,219,ARJ0024,arjopro-l cap 10's,ARJAN BIOTECH PVT LTD
ARN0011,arnopen cap 30's,arnopen capsule 30s,115230,2.5,ARN0011,arnopen cap 30's,ADONIS LABORATORIES PVT LTD
AST0023,astymin forte cap 10's,astymin forte capsule 10s,382245,9.6,AST0023,astymin forte cap 10's,TABLETS INDIA LTD
AST0298,astagluon cap 30's,astagluon capsule 30s,378449,18975,AST0298,astagluon cap 30's,MEDARMI BIOPHAR PVT LTD
AST0303,astymin forte cap 15's,astymin forte capsule 15s,380199,11.45,AST0303,astymin forte cap 15's,TABLETS INDIA LTD
ATC0040,atchol gold 20 cap 15's,atchol gold 20mg capsule 15s,377839,6.28,ATC0040,atchol gold 20 cap 15's,ARISTO PHARMACEUTICALS PVT LTD
AVI0043,avi-z cap 10's,avi z capsule 10s,118902,6.5,AVI0043,avi-z cap 10's,ENDO LABORATERIES
AXI0089,axiotem 100mg cap 5's,axiotem 100mg capsule 5s,378609,9306,AXI0089,axiotem 100mg cap 5's,AXIOMMAX ONCOLOGY PVT LTD
AXI0091,axiotem 20mg cap 5's,axiotem 20mg capsule 5s,378603,2520,AXI0091,axiotem 20mg cap 5's,AXIOMMAX ONCOLOGY PVT LTD
AXI0111,axirel-dsr cap 10's,axirel dsr capsule 10s,379746,13.7,AXI0111,axirel-dsr cap 10's,YENISOWL PHARMACEUTICALS
AZE0117,azel 80 cap 14's,azel 80 capsule 14s,380304,621.42,AZE0117,azel 80 cap 14's,DR REDDY'S LABORATORIES
BCO0043,b-complex cap 10's,b complex capsule 10s,121843,3.8,BCO0043,b-complex cap 10's,PHARMACEUTICAL INSTITUTE OF INDIA (PII) PVT LTD
BEN0529,benfoceum cap 10's,benfoceum capsule 10s,382094,25,BEN0529,benfoceum cap 10's,LYCEUM LIFE SCIENCES PVT LTD
BEP0031,beplex lz cap 15's,beplex lz capsule 15s,125158,3.26,BEP0031,beplex lz cap 15's,ANGLO FRENCH DRUGS & INDUSTRIES LTD
BHE0003,b-healthy cap 30's,b healthy capsule 30s,381911,9.17,BHE0003,b-healthy cap 30's,JM WELLNESS PVT LTD
BIO0488,biota-p cap 10's,biota p capsule 10s,127700,18.5,BIO0488,biota-p cap 10's,GENESIS BIOTECH INC
BIO0781,biofibe cap 10's,biofibe capsule 10s,311573,6.4,BIO0781,biofibe cap 10's,SHREYA LIFESCIENCES PVT LTD
BIO0936,bional garlic cap 30s,bional garlic capsule 30s,127492,120,BIO0936,bional garlic cap 30s,MODI OMEGA PHARMA INDIA PVT LTD
BIO1692,biofibe cr cap 10's,biofibe capsule 10s,311573,25,BIO1692,biofibe cr cap 10's,SHREYA LIFESCIENCES PVT LTD
CAR1288,carelipid cap 10's,carelipid capsule 10s,381211,21,CAR1288,carelipid cap 10's,HIM-HIMERUS MEDICAL SOLUTIONS
CEF0020,cefdiel 300mg cap 10's,cefdiel 300 cap 10s,376649,38.85,CEF0020,cefdiel 300mg cap 10's,RANBAXY LABORATORIES
CHL0010,chloromycetin 250mg cap 10's,chloromycetin 250 mg cap 10s,376647,6.6,CHL0010,chloromycetin 250mg cap 10's,PFIZER LTD
CIT0273,citdol-k2 soft gelatin cap 10's,citdol  k2 soft gelatin capsule 10s,153241,12,CIT0273,citdol-k2 soft gelatin cap 10's,3M INDIA LTD
COB0055,cobatea cap 10's,cobatea capsule 10s,381266,12,COB0055,cobatea cap 10's,AARGE DRUGS PVT LTD
COG0044,cognisules cap 10's,cognisules capsule 10s,156442,7.81,COG0044,cognisules cap 10's,PFIZER LTD
COG0090,cogen q10 softgel cap 10's,cogen q10 softgel capsule 10s,381913,45.8,COG0090,cogen q10 softgel cap 10's,ALBAGEN LIFESCIENCES PVT LTD
COL0894,colostra  cap 10's,colostra capsule 10s,157013,10,COL0894,colostra  cap 10's,GEN PHARMA INTERNATIONAL PVT LTD
COM0192,combitone cap 6s,combitone capsule 6s,157215,17.41,COM0192,combitone cap 6s,ADONIS LABORATORIES PVT LTD
COS0224,cosatyl 1000mg softgel cap 10's,cosatyl 1gm softgel capsule 10s,382471,24,COS0224,cosatyl 1000mg softgel cap 10's,INMED THERAPEUTICS
CPI0005,cpink - xt cap 10's,cpink xt capsule 10s,158984,5.3,CPI0005,cpink - xt cap 10's,WANBURY LTD
CUR0259,curprime softgel cap 10's,curprime softgel capsule 10s,381794,29.9,CUR0259,curprime softgel cap 10's,CRMS PHARMACEUTICALS PVT LTD
D3T0003,d3-total cap 8's,d3 total capsule 8s,161128,28,D3T0003,d3-total cap 8's,WOCKHARDT LTD
DAY0007,dayfresh  cap 10's,dayfresh capsule 10s,162030,9,DAY0007,dayfresh  cap 10's,DUMMY
DAY0053,dayfresh-3g cap 10's,dayfresh   3g capsule 10s,162028,9.9,DAY0053,dayfresh-3g cap 10's,STADIA BIOTECH PVT LTD
DEP0010,depin 10mg cap 100's,depin 10 capsule 100s,163678,1.31,DEP0010,depin 10mg cap 100's,ZYDUS CADILA HEALTHCARE LTD
DEX0428,dexolan 30mg mr cap 10's,dexolan 30mg capsule 10s,382303,15.5,DEX0428,dexolan 30mg mr cap 10's,WATERLEY PHARMACEUTICALS PVT LTD
DIA0760,diataal-d nutripop cap 10's,diataal d nutripop capsule 10s,377271,12,DIA0760,diataal-d nutripop cap 10's,USV LTD
DOE0002,doesz-dsr cap 10's,doesz dsr capsule 10s,383089,10.1,DOE0002,doesz-dsr cap 10's,ROSA LIFE SCIENCES
DOF0009,dofomo cap 10's,dofomo capsule 10s,168422,7.25,DOF0009,dofomo cap 10's,TIL PHARMA
DOX0031,doxycycline 100mg cap 10's,doxycycline 100 mg capsule 10s,170129,2,DOX0031,doxycycline 100mg cap 10's,INDI PHARMA PVT LTD
DTA0014,d-take 60k softgel cap 4's,d take 60k softgel capsule 4s,380023,32.75,DTA0014,d-take 60k softgel cap 4's,MEDPHYSIS LIFESCIENCE
ELM0001,elmecob plus cap 10's,elmecob plus capsule 10s,185264,11,ELM0001,elmecob plus cap 10's,ELDER PHARMACEUTICALS LTD
ENE0144,energic-31 cap.  10s,energic 31 capsule 10s,381651,80,ENE0144,energic-31 cap.  10s,3M INDIA LTD
ENI0008,enipsa od cap 10's,enipsa od capsule 10s,379762,17.8,ENI0008,enipsa od cap 10's,ASARVA LIFE SCIENCES PVT LTD
ENZ0135,enzamide 40mg cap 28's,enzamide 40mg capsule 28s,378569,27500,ENZ0135,enzamide 40mg cap 28's,INTAS PHARMACEUTICALS LTD
ESO0278,esofit it cap 15's,esofit it capsule 15s,377105,11.13,ESO0278,esofit it cap 15's,ALTEUS BIOGENICS PVT LTD
ESV0005,esverol plus cap 10's,esverol plus capsule 10s,189286,14.93,ESV0005,esverol plus cap 10's,DELCURE LIFESCIENCE LTD
EVI0024,evion  omega 200mg cap 10's,evion omega 200 capsule 10s,190578,1.44,EVI0024,evion  omega 200mg cap 10's,MERCK LTD
EXE0109,exelon 1.5mg cap 60's,exelon 1.5mg capsule 60s,190785,4260,EXE0109,exelon 1.5mg cap 60's,NOVARTIS INDIA LTD
FAV0008,favolife cap 10's,favolife capsule 10s,192204,8.8,FAV0008,favolife cap 10's,FDC LTD
FEM0135,femarelle cap 30s,femarelle capsule 30s,192769,24.2,FEM0135,femarelle cap 30s,SIGMA LABORATORIES PVT LTD
FES0028,fesovit spansule cap 30's,fesovit spansule capsule 30s,193795,4.72,FES0028,fesovit spansule cap 30's,GLAXO SMITHKLINE PHARMACEUTICALS LTD
FIN0142,finuron cap 10's,finuron capsule 10s,194543,12,FIN0142,finuron cap 10's,FIALE PHARMACEUTICALS PVT LTD
FOL0652,folmeth o cap 10's,folmeth o capsule 10s,381538,13,FOL0652,folmeth o cap 10's,THOERIS LIFESCIENCES
