Product Code,Product Name,Pack Size,Company,catg,subcatg,MRP
14038,TRIVOLIB 1 TAB,10TAB,SUN PHARMA 2,,,244.5
29251,UC-MOVE TAB,10TAB,AKSIGEN HOSPITAL CARE,,,713
8462,ZINTAC 300MG TAB,10TAB,NICHOLAS,,,17.7
9263,AMLOPRESS 10 TAB,10TAB,CIPLA LTD,,,53.87
30525,ETAZE CREAM 20GM,20GM,MOHRISH PHARMACEUTICALS LTD,,,166
8664,GLIZID MR 30 TAB,15TAB,MANKIND,,,57.7
6967,MUOUT PLUS POWDER,119GM,DR. REDDY LABORATORIES LTD,,,280.5
16160,OMNIGEL 75GM,75GM,CIPLA GENRIC,,,231
10461,TIXYLIX SYP 60ML,60ML,ABBOTT HEALTH CARE,,,102.3
317730916,ARNOZA 50 TAB,10TAB,TORRENT,,,290
10590,CLOPITAB-A-75 CAP,15CAP,LUPIN LTD,,,100.3
16288,FERROTIX Z,10TAB,AVTIX HEALTHCARE,,,120
30393,FIBERMATE POWER 90GM,90GM,Ultimate Healthcare,,,236
16634,JUFEX FORTE SYP 100ML,100ML,AMIL PHARMACEUTICALS INDIA LTD,,,158
25195,KESHROCK 10TAB,10TAB,ASARVA LIFESCIENCES,,,208
30235,LMX FORTE SUSP 30ML,30ML,CADILA HEALTHCARE LTD,,,67.2
29911,DAPAONE 10MG TAB,10TAB,MSN LABORATORIES,,,150
13410,LONAZEP 0.5MG TAB,10TAB,SUN PHARMA 2,,,51.74
10855,MONIT 30 SR TAB,15TAB,INTAS PHARMACEUTICALS,,,87.55
25410,NOVONORM 2 MG 30,30TAB,NOVO NORDISK INDIA PVT LTD,,,330
8787,OFLOMAC FORTE ORAL SOL.,30ML,MACLEODS,,,71.25
318331135,OLEASOFT MAX LOTION 200ML,200ML.,ALKEM,,,525
14760,OMNIGEL 30GM,30GM,CIPLA GENRIC,,,121
23549,SARVGUARD HAND RUB MIST 60ML,60ML,ASARVA LIFESCIENCES,,,30
30210,SIGYN D 100/5,10TAB,ZYDUS CADILA HEALTHCARE LTD,,,190
30776,DENORAL TOOTH PASTE 70GM,70GM,AUREATE HEALTHCARE PVT LTD,,,195
10660,SORBILINE SYP 100ML,100ML,FRANCO INDIA,,,101.5
7350,DEPIWHITE MASQUE F/P,40ML,DR. REDDY LABORATORIES LTD,,,1072
14596,TICAVIC 90MG  TAB,10TAB,ALKEM,,,225
14606,TSART TRIO 6.25,10TAB,ALKEM,,,193
22516,UDAPA M 10/500 XR TAB,10TAB,USV,,,125.9
29652,VEINOSIL FORTE TAB,6TAB,AKCENT HEALTHCARE,,,474
23508,ZEEBEE TAB,10TAB,RANABXY GENRIC,,,8.45
24636,BACTIWASH SOAP 75GM,75GM,SANSTUTI PHARMACEUTICALS,,,117
30038,CYSTONE SYP 200ML,200ML,HIMALAYA DRUG CO.,,,190
30315,GABAFIX GEL 30G TUBE,30GM,AAREEN HEALTHCARE PVT LTD,,,239.9
9867,MANKIND-PLACIDA TAB,10TAB,MANKIND,,,75
9382,NICOTEX TIN 4 MINT PLUS,25TAB,CIPLA OTC,,,284
29990,PATIF EYE DROP,5ML,NEOMEDIX HEALTHCARE LTD.,,,160
7258,RUMALAYA GEL BLISTE,10GM,HIMALAYA DRUG CO.,,,90
17824,SUMO GEL 15GM,15GM,ALKEM GENRIC,,,66
30265,SUPROX 10TAB,10TAB,IND SWIFT LABORATORIES LTD,,,42.07
3363,TELVAS AM 40/5 TAB,10TAB,ARISTO,,,83
13516,AZTOR 40MG TAB,15TAB,SUN PHARMA 2,,,359.8
22313,BENFOPEX TAB,10TAB,NEUROPEX PHARMACEUTICAL,,,250
16007,GEMSOLINE-D3 60K CAP,4CAP,MEDLEY PHARMACEUTICALS LTD,,,116.5
7682,MOX 250MG CAP,15CAP,RANBAXY,,,36.62
319430837,MOX REDIMIX 125MG 60ML,60ML,RANBAXY,,,62
30119,PERNEX AC 2.5%,20GM,Oaknet Healthcare Pvt Ltd,,,58.33
17503,SAZO 500 TAB,15TAB,WALLACE PHARMA,,,74.24
9444,TELSAR A TAB,15TAB,TORRENT,,,254.8
10169,GRD POWDER CHOCOLATE 200GM,200GM,ZYDUS CADILA HEALTHCARE LTD,,,365
30728,HOPACE 2.5TAB 15TAB,15TAB,MICRO,,,78.12
320431185,DIGERAFT PLUS SUSP,150ML,ABBOTT INDIA LIMITED,,,195
320431186,DIGERAFT XT SYP,200ML,ABBOTT INDIA LIMITED,,,210
16295,LULINIS CREAM,20GM,AVTIX HEALTHCARE,,,289.1
26108,MANFORCE RPIC CONDOMS PLEASURE,10PCS,MANKIND OTC,,,240
30195,NEUROBION ALFA-D,10TAB,PROCTER AND GAMBLE HEALTHCARE LTD,,,193.6
17086,OMNIGEL 50GM,50GM,CIPLA GENRIC,,,162.8
29815,SAMLIZA 6 TAB,10TAB,ROCKMED PHARMA PVT. LTD,,,85
7939,TELMA AM 80 TAB,15TAB,Glenmark Pharmaceuticals Ltd,,,413
17386,TRAZER F FORTE TAB,10TAB,CORONA REMIDIES PVT.LTD,,,275
9205,ZOCON 400 TAB,1TAB,FDC LTD.,,,38.75
8500,ALTHROCIN DROP,10ML,ALEMBIC PHARMACEUTICALS LTD,,,46.55
29335,BILMEGH TAB,10TAB,Meghmani Lifesciences,,,128
17856,HAIRSHIELD 30ML (CP-COMB+B4G2),30ML,WINGS,,,49
25735,DOM SUS 30ML,30ML,MOREPEN LABORATORIES LTD.,,,40.32
9839,LYCOSTAR-NEW RF CAP,10CAP,MANKIND,,,159.9
18239,MEDERMA ADVANCED PLUS SCAR GEL 10GM,10GM,WIN MEDICARE OTC,,,499
9024,MEFTAL-250 TAB,10TAB,BLUE CROSS,,,22.5
29148,DOXOLIN 200MG TAB,30TAB,ZYDUS CADILA HEALTHCARE LTD,,,87.8
27166,OTOGESIC EAR DROP 10ML,10ML,ERIS PHARMA,,,181.37
22250,DR ORTHO CREEM,15GM,DR ORTHO AYURVEDIC,,,48
17272,DR.ORTHO AYUR.OIL 120 ML,1TAB,DR ORTHO AYURVEDIC,,,295
22628,SENSODYNE FRESH GEL 75GM,75GM,GALAXO SMITH KLINE OTC,,,125
16701,TAXIM O DRY SYP  60ML,60ML,ALKEM,,,85.45
16308,TERBISTA 250MG,7TAB,AVTIX HEALTHCARE,,,165.27
24913,TROPICACYL PLUS EYE DROP 5ML,5ML,SUNWAYS INDIA PVT LTD,,,80
24213,DS SILK LOTION 150 ML,150ML,ADONIS PHYTOCEUTICALS PVT. LTD,,,391
359531080,VORTEIL TAB,10TAB,Meghmani Lifesciences,,,299
24624,ADALIA MOISTARIZING LOTION 100ML,100ML,SANSTUTI PHARMACEUTICALS,,,218
14415,AMLIP AT TAB,10TAB,CIPLA GENRIC,,,72.6
16031,DUREX 10 PC MUT.ORG,10PCS,RECKIT BENCKISER INDIA PVT LTD,,,360
21526,DUREX CON. EXTRA THIN 3,3PCS,RECKIT BENCKISER INDIA PVT LTD,,,77
28347,HHFUDIC CREAM  10GM,10GM,H&H HEALTH CARE,,,315
16898,MANFORCE WILD CONDOMS (STRAWBERRY),10PCS,MANKIND OTC,,,80
29646,MURINE-XT TAB,15TAB,AKCENT HEALTHCARE,,,1498
30454,RISPOND 2 TAB(15TAB),15TAB,MICRO,,,76.88
10472,SARTEL H TAB,15TAB,INTAS PHARMACEUTICALS,,,250
23488,SYNOFLUID XT,14TAB,CELL SALVE PHARMACEUTICALS,,,829
3040,AMLOSAFE-H,10TAB,GENETICA,,,64.55
23623,BIGNAC GEL,30GM,RONYD HEALTHCARE PVT LTD,,,99
13331,DIGENE GEL MINT 450ML,450ML,ABBOTT INDIA LIMITED,,,218.05
360530177,FOLICLYF CAP,10TAB,PANZIN HEALTHCARE PVT.LTD,,,170
30797,LUPIZYME PLUS PINE APPLE SYP 200ML,200ML,LUPIN LTD,,,137.4
24607,MOXI-CL 6 TAB,6TAB,SANSTUTI PHARMACEUTICALS,,,152
23327,OFLOX 100 REDIUSE 60ML,60ML,CIPLA LTD,,,148.59
18659,OXRAMET  IR  5/1G,14TAB,SUN PHARMA 2,,,203
22903,PEARL D3 FORTE TAB,10TAB,DRIGHYAM PHARMACEUTICALS,,,225
21656,PRENATAL TAB,10TAB,Fourrts India Laboratories,,,178
11281,SENSODYNE FRESH MINT 75GM,75GM,GALAXO SMITH KLINE OTC,,,125
30249,SEPTRAN PAEDIATRIC SUS 60ML,60ML,KOYE PHARMACEUTICALS PVT.LTD,,,24.86
15288,SEVENSEAS COD LIVER OIL CAP,100CAP,PROCTER AND GAMBLE HEALTHCARE LTD,,,351
14141,SGLTR TAB,10TAB,MANKIND,,,131
23142,SGLTR V TAB,10TAB,MANKIND,,,149
23628,SONIRAB D TAB,10TAB,RONYD HEALTHCARE PVT LTD,,,65.9
16042,TOREX SYP,100ML,TORQUE PHARMACEUTICALS,,,120
22510,ZEROMOL 650 TAB,10TAB,MEDSTRY BIOTECH,,,20.2
6894,BRO-ZEDEX KID LS SYP,60ML,DR. REDDY LABORATORIES LTD,,,118.25
334230920,FOSABOND TAB,4TAB,CELL SALVE PHARMACEUTICALS,,,552
24644,K-20 SOAP 75GM,75GM,SANSTUTI PHARMACEUTICALS,,,128
30262,NETAZOX 200 DT TAB,6TAB,IND SWIFT LABORATORIES LTD,,,73.2
9020,OFLOX D EYE DROP,5ML,CIPLA LTD,,,20.49
27921,PRIMOFIT,10TAB,HEALTHICA PHARMACEUTICALS,,,220
29270,SALIVARY SALIVA SPRAY 100ML,100ML,TORION LABS,,,0
18217,SOBISIS 500 TAB,10TAB,LA RENON HEALTHCARE,,,41
26044,TEDI BAR 75 GM,75GM,CURATIO HEALTHCARE IND LTD,,,175
14605,TSART TRIO 12.5,10TAB,ALKEM,,,207
7704,VOLIX M 0.3MG TAB,10TAB,RANBAXY,,,179
359530750,VORTEIL DS,10TAB,Meghmani Lifesciences,,,575
15205,ANLEO DSR CAP,10CAP,AN PHARMACEUTICALS,,,120
28983,CARTIMEG TAB,10TAB,AXONWAVE PHARMACEUTICALS,,,0
30130,COSVATE-S LOTION 30ML,30ML,Oaknet Healthcare Pvt Ltd,,,189.95
8218,ONDEM SYP,30ML,ALKEM,,,41.72
16848,PURTIA CAP,10CAP,AN PHARMACEUTICALS,,,561
17153,SARVAGUARD (EPA) TRIGGER,500ML,ASARVA LIFESCIENCES,,,250
29516,T SART M 40/50 TAB,10TAB,ALKEM,,,194
29263,UPMARK-D3 60K TAB,5CAP,GRANDCURE HEALTHCARE PVT LTD,,,120
12906,1-AL 10MG TAB,15TAB,FDC LTD.,,,84
18946,EIDO -FE FORTE CAPSULE,10CAP,LA RENON HEALTHCARE,,,193
195,LIBOTRYP DS 25MG/10MG TAB,30TAB,DR. REDDY LABORATORIES LTD,,,207.25
30796,LUPIZYME PLUS ELAICHI SYP  200ML,200ML,LUPIN LTD,,,137.4
30382,MEDERMA PM ACNE SCAR CREAM,10GM,WIN MEDICARE OTC,,,475
8320,MONTAIR -10,15TAB,CIPLA LTD,,,246.28
13870,PEGCLEAR ORAL SOLUTION,200ML,ZUVENTUS,,,369.25
22317,ESMOPEX 40 TAB,10TAB,NEUROPEX PHARMACEUTICAL,,,84
30462,PHOTOSTABLE SUNSCREEN EMULGEL 50GM,50GM,RANBAXY,,,722
23114,POP DSR CAP,10CAP,WINSOME BIOCEUTICALS,,,85
22355,RABELUTE L CAP,10CAP,RESOLUTE HEALTHCARE,,,235
18137,SEDOGEST 300MG TABLET  10,1TAB,LA RENON HEALTHCARE,,,353
29706,SPIRODIN-650 TAB,10TAB,KOYE PHARMACEUTICALS PVT.LTD,,,152
7366,TENEFIT M TAB,15TAB,SYSTOPIC,,,141
23246,TOLL D TAB,10TAB,AXONWAVE PHARMACEUTICALS,,,162
22144,TRIKA 1 TAB,10TAB,TORRENT,,,59.7
24613,ADALIA MOISTARIZING SOAP 75GM,75GM,SANSTUTI PHARMACEUTICALS,,,95
28211,AGRILINE SACHET 5GM,5GM,RLV LIFE SCIENCES PVT. LTD.,,,130
28936,AMINORIV SYP 200ML,200ML,EAST AFRICAN,,,0
26690,AMOCUS AT,15TAB,INFOCUS REMEDIES,,,66
25034,AQUASOFT SYNDET BAR,75GM,AJANTA PHARMA LTD,,,171
317730914,ARNOZA 100 TAB,10TAB,TORRENT,,,390
22716,EXAMINATION GLOVES NULIFE,1TAB,NULIFE PHARMACEUTICALS LTD,,,900
22529,EXP RICH CREAM N. BROWN  20GM,20GM,GODREJ HOMECARE,,,30
28410,BACIFOE-L TAB,10TAB,INSUTIK PHARMACEUTICALS PVT.LT,,,88
30390,BONESHELL PLUS TAB,10TAB,Ultimate Healthcare,,,187
29495,BONGEM-K2 TAB,10TAB,ANTARES PHARMACEUTICALS PVT LT,,,210
30216,CELL CURE TAB,10TAB,MEDISTE PHARMA,,,695
30622,CELLFORTE-LC TAB,10TAB,Ultimate Healthcare,,,196
332830980,COSVATE G CREAM 20GM,20GM,Oaknet Healthcare Pvt Ltd,,,22.83
316230945,DEREK L TAB,10TAB,ALBERT DAVID,,,201.7
23594,DERMADEW SHAMPOO 80ML,80ML,H&H HEALTH CARE,,,200
24809,DEVAN-SP TAB,10TAB,DEVANN PHARMACEUTICALS,,,149
29768,DEWDERM SOAP 100GM,100GM,MENARINI INDIA PVT LTD,,,175
24805,DITHROCIN-500TAB,10TAB,DEVANN PHARMACEUTICALS,,,79
28918,E-ZINC DROP 30ML,30ML,EAST AFRICAN,,,0
30405,ETOWEB P,10TAB,AXILGROW HEALTHCARE,,,124.6
28393,FETIK-50 TAB,2TAB,INSUTIK PHARMACEUTICALS PVT.LT,,,20
30805,FEROMOST XT TAB,10TAB,AAREEN HEALTHCARE PVT LTD,,,108.9
24563,GABAPIN NT 200 TAB,10TAB,INTAS PHARMACEUTICALS,,,237
26688,GLUCAMET  V,10TAB,INFOCUS REMEDIES,,,88
30007,GLUCRETA S (10+50) TAB,10TAB,TORRENT,,,185
26698,INACITA E DSR,10TAB,INFOCUS REMEDIES,,,118
26697,INACITA P DSR,10TAB,INFOCUS REMEDIES,,,114
26696,INACITA R DSR,10TAB,INFOCUS REMEDIES,,,90
28413,INSUPOD TAB,10TAB,INSUTIK PHARMACEUTICALS PVT.LT,,,120
6781,JANUMET XR CP TAB,14TAB,MSD,,,289
28417,KUBMOL 650 TAB,20TAB,INSUTIK PHARMACEUTICALS PVT.LT,,,41.2
19049,LACARNIT INJECTION,5ML,LA RENON HEALTHCARE,,,151
29711,LAMINO SHE JEERA FLAVOUR,40DIS,LA RENON HEALTHCARE,,,499
17048,LEVACETAM 1000MG,10TAB,MICRO,,,298
29985,MACUVON CAP,10TAB,NEOMEDIX HEALTHCARE LTD.,,,245
27465,FIXDERMA SCAR GEL CREAM 15GM,15GM,FIXDERMA INDIA PVT LTD,,,385
25196,MATIGESIC GEL 30GM,30GM,ASARVA LIFESCIENCES,,,96
30226,MEDKIN AD SHAMPOO,200ML,MEDISTE PHARMA,,,785
8892,MOX REDIMIX 125MG,30ML,RANBAXY,,,30.5
26694,NAPIR 650,10TAB,INFOCUS REMEDIES,,,18
26695,NAPIR COLD,10TAB,INFOCUS REMEDIES,,,40
26691,NAPIRA A,10TAB,INFOCUS REMEDIES,,,48
26693,NAPIRA D,10TAB,OTHERS,,,27
26692,NAPIRA SA,10TAB,INFOCUS REMEDIES,,,89
355929891,NEVOLI TAB,10TAB,Avolife Pharmaceutical Private,,,299
325630788,NEW GTN 6.4,10TAB,ERIS PHARMA,,,99.82
28398,NILLBLOC VAPO CAP,10TAB,INSUTIK PHARMACEUTICALS PVT.LT,,,60
17510,NOR TZ TAB,6TAB,ALKEM GENRIC,,,42
7376,NORTRYPTOMER-P,10TAB,DR. REDDY LABORATORIES LTD,,,229
22500,NOVOACE MR TAB,10TAB,MEDSTRY BIOTECH,,,69
30264,OLIADE OIL 100ML,100ML,IND SWIFT LABORATORIES LTD,,,199
8575,PAN IV INJECTION,1VAIL*10ML,ALKEM,,,55.32
28929,PARARIV-DS SYP 60ML,60ML,EAST AFRICAN,,,0
28216,PEBIVAST DSR CAP,10CAP,RLV LIFE SCIENCES PVT. LTD.,,,148
12434,FOGG MASTER DEO 100GM,100GM,Vini Cosmetics Pvt Ltd(FOGG),,,225
10648,PHOSTAT TAB,10TAB,ZYDUS CADILA HEALTHCARE LTD,,,42.3
16166,POWERGYL  ORAL SUSP,30ML,CIPLA GENRIC,,,72.5
27646,PREPRO KID L SACHETS,1.2GM,Fourrts India Laboratories,,,45
18243,FORMOFLO FORTE R/C,1CAP,LUPIN LTD,,,517
30404,RABAXIL L,10TAB,AXILGROW HEALTHCARE,,,209.5
29499,RIGHTGUT TAB,10TAB,ANTARES PHARMACEUTICALS PVT LT,,,0
14388,FREEDASE 30 TAB,10TAB,SUN PHARMA 2,,,520
22946,ROVOR 10,10TAB,TORRENT,,,192.3
318331051,SACUVAL 50 TAB,10TAB,ALKEM,,,189
351430247,SAN-RD CAP,10TAB,SANSTUTI PHARMACEUTICALS,,,98
329331108,SOLHIKE-D3 60K TAB,4TAB,LA RENON HEALTHCARE,,,108
28207,TACGOV 0.5 CAP,6CAP,RLV LIFE SCIENCES PVT. LTD.,,,232
28208,TACGOV 1.0 CAP,10CAP,RLV LIFE SCIENCES PVT. LTD.,,,442
26689,TELCV 40,15TAB,INFOCUS REMEDIES,,,79
30131,FUSEE B  10GM,10GM,TALENT INDIA LTD,,,102.85
25859,TOLMOVE 450,10TAB,LA RENON HEALTHCARE,,,273
9596,TYDOL 50 TAB,10TAB,RANBAXY,,,177
22242,VISTA Q10 TAB,10TAB,V R MED HEALTHCARE,,,599
24622,VITCURE TAB 10TAB,10TAB,SANSTUTI PHARMACEUTICALS,,,180
30757,XILIGIO 25/5 TAB,10TAB,TORRENT,,,861
10260,ZAPIZ 2,10TAB,INTAS PHARMACEUTICALS,,,118
28931,ZINCORIV SYP 60ML,60ML,EAST AFRICAN,,,0
30465,CARIQUEL 1.5 CAP,10CAP,TORRENT,,,99
30768,CROCIN COLD N FLU,10TAB,GALAXO SMITH KLINE OTC,,,60.31
24651,GLEN-APS 10TAB,10TAB,SANSTUTI PHARMACEUTICALS,,,105
324730414,HICOPE LOTION 100ML,100ML,MANKIND,,,339
5553,IMMUNACE FORTE TAB,15TAB,MEYER,,,111
7605,KEFLOR SYP 10ML,50MG,RANBAXY,,,157
22935,GAL ADV MV 15G,15GM,HINDUSTAN UNILIVER LTD,,,20
22936,GAL ADV MV 25G RL,25GM,HINDUSTAN UNILIVER LTD,,,62
22937,GAL ADV MV 50G,50GM,HINDUSTAN UNILIVER LTD,,,122
22939,GAL AYUR 25G,25G,HINDUSTAN UNILIVER LTD,,,75
23857,GARNIER COLOR BN-3 POUCH NATU,1PC,GARNIER & LOREAL,,,39
319131088,NULONG T,15TAB,MICRO,,,156
28935,PARARIV-500 TAB,10TAB,EAST AFRICAN,,,0
29918,PULMOFIB 801 MG TAB,10S,MSN LABORATORIES,,,660
13005,RB TONE KID SYP,100ML,MEDLEY PHARMACEUTICALS LTD,,,125.75
21382,SARVGUARD HAND RUB MIST,100ML,ASARVA LIFESCIENCES,,,50
339931012,GATIRAY EYE DROP,5ML,RAYMED PHARMACEUTICALS LTD,,,66
29924,TAPFREE ER 50MG TAB,15TAB,MSN LABORATORIES,,,257
29271,TRYPTOR-PLUS TAB,10TAB,TORION LABS,,,0
29992,VCOFOL CAP,10TAB,NEOMEDIX HEALTHCARE LTD.,,,245
26176,VRPZ DSR CAP,10CAP,V R MED HEALTHCARE,,,129
17911,GENTIAN VIOLET SOLUTION,1TAB,OTHERS,,,28
24555,GILLETE GUARD CART 3S,3PCS,PROCTER AND GAMBLE,,,35
331631205,GILLETE SERIES SHAVE GEL,60GM,PROCTER AND GAMBLE,,,90
16861,AMPILOX CAP,15CAP,CIPLA LTD,,,151.35
28922,AMROVIT SYP 200ML,200ML,EAST AFRICAN,,,0
24810,BRONCHONAC TAB,10TAB,DEVANN PHARMACEUTICALS,,,199
8020,DROTIN SYP,100ML,WATER BUSHNELL,,,185.23
22315,DVPEX 50 TAB,10TAB,NEUROPEX PHARMACEUTICAL,,,120
15290,MMF TAB,10TAB,IPCA LABORATORIES LTD,,,741.62
29638,NEKO SOAP 100GM,100GM,PIRAMAL,,,70
17636,PROTINEX LITE VANILA 250MG,250GM,NUTRICIA INTERNATIONAL PVT LTD,,,415
30403,RABAXIL DSR,10TAB,AXILGROW HEALTHCARE,,,125
17325,GLARITUS CATRIDGE,3ML,WOCKHARDT LTD.,,,1386
21447,TAZACT4.5GM INJ.,1VIAL,CIPLA LTD,,,543.28
58130090,TULASI SYP 200ML,200ML,HIMALAYA DRUG CO.,,,130
5569,CALCIMAX P SUSP,200ML,MEYER,,,171
30320,CARTIMOST UC TAB,10TAB,AAREEN HEALTHCARE PVT LTD,,,649
25492,COEHB TAB,15TAB,KOYE PHARMACEUTICALS PVT.LTD,,,207.9
24632,CONAWIN CAP 100MG,100MG,SANSTUTI PHARMACEUTICALS,,,180
30392,CURCUHIP PLUS TAB,10TAB,Ultimate Healthcare,,,298
30151,FLUCOS GEL 0.5%,15GM,Oaknet Healthcare Pvt Ltd,,,104.39
28921,FRESHRIV MOUTH WASH 100ML,100ML,EAST AFRICAN,,,0
9143,LCZ PLUS TAB,10TAB,RAPROSS,,,69
30772,LYCOGEM FORTE TAB,10TAB,AUREATE HEALTHCARE PVT LTD,,,180
28934,MEDOSTONE SYP 200ML,200ML,EAST AFRICAN,,,0
10119,METROGYL P 2% OINT,20GM,J.B.CHEMICALS & PHARMACEUTICAL,,,152.83
1482,NEEM TAB,60TAB,HIMALAYA DRUG CO.,,,200
13869,NORMET TAB,10TAB,ZUVENTUS,,,112.35
27365,OFLOMAC M FORTE 60ML,60ML,MACLEODS,,,80.3
8713,OLMY 20 TAB,10TAB,ZYDUS CADILA HEALTHCARE LTD,,,155.2
29217,RESUMER TAB,10TAB,VIGILANT LIFE SCIENCES PVT LTD,,,270
29790,SCABPER SOAP 75GM,75GM,MENARINI INDIA PVT LTD,,,80
9680,THREPTIN REGULER 275GM,275GM,RAPTAKOS BRETT & CO LTD,,,475
17901,GLUCON D LEMON 200GM,200GM,ZYDUS WELLNES PRODUCT LTD.,,,118.8
28926,XYLORIV NASAL DROP 10ML,10ML,EAST AFRICAN,,,0
25163,ACTPRO CAP,10TAB,ACCUFFY LIFESCIENCES,,,219.7
9303,BONESEQ-K2 7 TAB,10TAB,SEQMED,,,230
23485,BONSERUM TAB,10TAB,CELL SALVE PHARMACEUTICALS,,,229
23370,CYONASE-XT TAB,10TAB,CELL SALVE PHARMACEUTICALS,,,179
28411,DELIRIZ-DSR CAP,10TAB,INSUTIK PHARMACEUTICALS PVT.LT,,,100
15362,ENSURE CHOCO 400GM,400GM,ABBOTT NUTRA,,,635
24625,GLARE ACNE FACE WASH 100ML,100ML,SANSTUTI PHARMACEUTICALS,,,250
28867,GLURA M 500 TAB,10TAB,ERIS PHARMA,,,180
17995,MUMMUM-2,400GM,FDC LTD.,,,375
25162,OXILYK CAP,10TAB,ACCUFFY LIFESCIENCES,,,387
28924,PARARIV-650 TAB,10TAB,EAST AFRICAN,,,0
6139,PMT SOAP,75GM,SALVE PHARMA,,,79
8066,SASLIC DS FOAMING FACE WASH,60ML,CIPLA LTD,,,435
8864,SITCOM TAB,7TAB,MANKIND,,,319.55
16899,SUPER MANFORCE CONDOMS (LITCHI),10PCS,MANKIND OTC,,,80
10017,T-98 TAB,15TAB,MANKIND,,,16.63
30088,TRIKATU SYP 200ML,200ML,HIMALAYA DRUG CO.,,,120
9490,VOLITRA APS SPRAY,30ML,RANBAXY,,,295
13880,ZOSTUM O TAB,10TAB,ZUVENTUS,,,483.55
28384,AC-FOE NIGHT GEL 15GM,15GM,INSUTIK PHARMACEUTICALS PVT.LT,,,150
28385,ACFOE-AZ 500MG TAB,3TAB,INSUTIK PHARMACEUTICALS PVT.LT,,,71
16027,GRAMOGYL TAB,10TAB,RANABXY GENRIC,,,90
28210,ADMATE 400MG TAB,10TAB,RLV LIFE SCIENCES PVT. LTD.,,,520
317730854,AMPOXIN CV FORTE,30ML,TORRENT,,,153.15
30033,BRAHMI SYRUP 200ML,200ML,HIMALAYA DRUG CO.,,,130
29641,CALNANO-D3 SHOT,4.5ML,AKCENT HEALTHCARE,,,98
6359,CCD MAX TAB,10TAB,SUNCURE,,,150
26420,COSMELITE CREAM 25GM,25GM,Oaknet Healthcare Pvt Ltd,,,334.48
23950,H&S AHF 180 ML,180 ML,PROCTER AND GAMBLE,,,197
25166,H&S AHF 340ML,340ML,OTHERS,,,295
22031,H&S NEEM 72ML NEEM,1TAB,PROCTER AND GAMBLE,,,89
22037,H&S SHAMPOO 340ML SS,340ML,PROCTER AND GAMBLE,,,379
30434,DOSETIL CREAM 15GM,15GM,Glenmark Pharmaceuticals Ltd,,,167.5
19100,GLYCOMET-GP 1/850 TAB,10TAB,USV,,,75.35
11717,HAJMOLA BTL ANARDANA,120TAB,DABUR INDIA LTD.,,,60
13001,ISRYL-M4 TAB,15TAB,SYSTOPIC,,,97.5
22205,LIFEBUOY HANDWASH TOTAL LIQ,190ML,LIFEBUOY,,,85
6039,MINTOP FORTE 5% SOLUTION 60ML,60ML,DR. REDDY LABORATORIES LTD,,,868.25
15728,PPG 0.2 TAB,30TAB,ABBOTT HEALTH CARE,,,197.3
1834,RUMALAYA GEL,30GM,HIMALAYA DRUG CO.,,,120
29201,HAYO-5 EYE DROP 5ML,5ML,OCURIS PHARMA,,,0
21575,HEAD & SHOLD COOL MENTHOL SHAM,72ML,PROCTER AND GAMBLE,,,79
21502,HEAD & SHOULDERS SHAMPOO,180ML,PROCTER AND GAMBLE,,,197
8865,SITCOM LD CREAM,30GRAM,MANKIND,,,239.25
24911,SUTHIN EYE DROP 10ML,10ML,OPTHO REMIDES,,,75
7647,TENEFIT M FORTE TAB,10TAB,SYSTOPIC,,,106
10760,TENLIMAC TAB,10TAB,MACLEODS,,,83
28400,TUFMELT-LS 100ML,100ML,INSUTIK PHARMACEUTICALS PVT.LT,,,80
29996,VIGOQUIN-T EYE DROP,5ML,NEOMEDIX HEALTHCARE LTD.,,,245
8843,WIKORYL ORAL DROP,15ML,ALEMBIC PHARMACEUTICALS LTD,,,96.3
30775,XEROSTENE MOUTH GARGLE 15ML,15ML,AUREATE HEALTHCARE PVT LTD,,,136.67
28239,ZOMELIS D TAB,10TAB,ERIS PHARMA,,,200
28950,CALDIMAND TAB,10TAB,PANZIN HEALTHCARE PVT.LTD,,,0
16629,HEXILAK GEL,20GM,MENARINI INDIA PVT LTD,,,445
323830833,CASTUS DENTURE BRUSK,1UNIT,GROUP PHARMACEUTICALS,,,99
24603,CONAWIN 200,10CAP,SANSTUTI PHARMACEUTICALS,,,289
22193,HIMALAYA DEEP CLEANSING APRICORT FACE WAS 50ML,50ML,HIMALAYA COSMETIC,,,70
21612,HIMALAYA NEEM FACE/W ALOEVERA,50ML,HIMALAYA COSMETIC,,,65
17719,HIMALAYA SOAP REFRESH 75GM,75GM,HIMALAYA COSMETIC,,,55
29827,DHUP 60 K TAB,4 TAB,ALBERT DAVID,,,117.9
29999,DIGEFIX SYP 200ML,200ML,TRUHEALTHY LLP,,,149
7172,ELOCON CREAM,10GM,FULFORD,,,265
30596,FEBUDAY 80 TAB,10TAB,MSN LABORATORIES,,,144
28951,FIXIMFUL TAB,10TAB,PANZIN HEALTHCARE PVT.LTD,,,0
30496,HOPJOY MAN TAB,10TAB,KEPLER,,,209
17470,FUNZI NM CREAM 20GM,20GM,CORONA REMIDIES PVT.LTD,,,119.75
12506,IODEX 16GM,16GM,GALAXO SMITH KLINE OTC,,,84
5531,HUSKY ISABGOL POWDER,100GM,KARNATKA,,,155
